"date","cc_ce","ic_ce","cc_ce_hat","ic_ce_hat","cc_gap","ic_gap"
1996-06-01,0.0225781392359466,0.0151613799971368,0.0147664019920305,0.00719755290187245,0.00781173724391603,0.00796382709526435
1996-07-01,0.0219397409595051,0.0118774179973545,0.0123556908162658,0.00632797364554903,0.00958405014323922,0.00554944435180551
1996-08-01,0.0219785099796745,0.0146176828320558,0.0110051730409573,0.00574313951929441,0.0109733369387171,0.00887454331276136
1996-09-01,0.021789951563396,0.0120800742391492,0.0148503444782787,0.00688289721558461,0.00693960708511732,0.00519717702356456
1996-10-01,0.0215703964013293,0.0118888151692724,0.0133794829500214,0.00722810793570116,0.00819091345130793,0.00466070723357128
1996-11-01,0.0212929030384182,0.014747040645071,0.0137540964446537,0.00738576545397441,0.00753880659376451,0.00736127519109657
1996-12-01,0.0218115043785822,0.0123973338122059,0.0137169668646608,0.00820658947359324,0.00809453751392144,0.00419074433861268
1997-01-01,0.0216905129345296,0.0118228662603646,0.0110175882357939,0.0071725963506782,0.0106729246987357,0.00465026990968642
1997-02-01,0.0210562109283043,0.0111863845221592,0.0088719725219626,0.00485908066813145,0.0121842384063417,0.0063273038540277
1997-03-01,0.0204685551864543,0.0139241278892347,0.00803485025257386,0.00660887362008097,0.0124337049338804,0.00731525426915377
1997-04-01,0.0201474934346737,0.011338247354008,0.00662850379705285,0.00625638666210372,0.0135189896376208,0.00508186069190432
1997-05-01,0.0199615565801297,0.0140341150352745,0.00785693192503727,0.0051526602115258,0.0121046246550925,0.00888145482374867
1997-06-01,0.019898277370891,0.0112862370450447,0.0158137757808654,0.00770793425228795,0.00408450159002561,0.00357830279275674
1997-07-01,0.0195435234007794,0.0110311757992502,0.0109265240599992,0.00564937669343003,0.00861699934078022,0.00538179910582021
1997-08-01,0.0195684963982953,0.0142173858271367,0.0179178344580872,0.00968488742531755,0.00165066194020803,0.00453249840181917
1997-09-01,0.0192442779995117,0.0108589482301753,0.0129481974541996,0.0066824290738495,0.00629608054531207,0.00417651915632579
1997-10-01,0.0189513426181539,0.0106069351597883,0.0115989622191724,0.00660041131591577,0.00735238039898157,0.00400652384387249
1997-11-01,0.0189470656281702,0.0134554104889895,0.0115273317013439,0.00617969588224957,0.0074197339268263,0.0072757146067399
1997-12-01,0.0191202837225135,0.0107181368993667,0.0157857463745139,0.00832106785437244,0.00333453734799954,0.00239706904499425
1998-01-01,0.0193420958502355,0.01365304409963,0.0124409520786583,0.00813390595034072,0.00690114377157712,0.00551913814928926
1998-02-01,0.0189089560016202,0.0108476240791581,0.00935223229964772,0.00511780431442274,0.00955672370197245,0.00572981976473533
1998-03-01,0.0188877028196469,0.0107116037145291,0.0126910326935634,0.0090389150934546,0.00619667012608346,0.00167268862107453
1998-04-01,0.0184322441052395,0.0105061680031698,0.0106962923482253,0.00774463113389145,0.00773595175701423,0.00276153686927831
