date,cc_ce,ic_ce,temp_layoff_share,perm_job_loser_share,completed_temp_share,job_leaver_share,reentrant_share,new_entrant_share,month_of_year
1995-09-01,0.023763687336132173,0.0032748800120602434,0.12209146830703396,0.2333511634126772,0.09668360524204332,0.11446910938753678,0.34354105375768923,0.08210751537844344,Sep
1995-10-01,0.023898389673426182,0.003333615606374853,0.14192139737991266,0.24249454148471616,0.09907205240174673,0.10330240174672489,0.34279475982532753,0.07628275109170306,Oct
1995-11-01,0.023976906864693424,0.0033829692694571185,0.14193374629679503,0.2317532992189604,0.09668731483975222,0.11284675464583895,0.33611634796660383,0.07769997306760032,Nov
1995-12-01,0.023443887303404954,0.0032752885500049026,0.13606358615115183,0.23844806681934527,0.09591809241546545,0.12191836184830931,0.3297858008891284,0.0784049575643271,Dec
1996-01-01,0.023604019731365358,0.0033328563962362035,0.14791082632492325,0.2314777733279936,0.09571485782939528,0.10959818448805234,0.32999599519423306,0.08183153117073821,Jan
1996-02-01,0.023996120483863737,0.003361818383636652,0.14440038287980309,0.23998359086558185,0.09804457814850266,0.1028305756871325,0.3325584575413647,0.07917407356761931,Feb
1996-03-01,0.02392705728313959,0.003443357517394837,0.139655643618475,0.2455588958731894,0.0933315113418967,0.10767969390543865,0.34025690079256626,0.07748018584312653,Mar
1996-04-01,0.023335765179695937,0.00318335813206978,0.1478084962913014,0.23910991233985165,0.10397842211732973,0.09912339851652056,0.33769386378961563,0.076062036412677,Apr
1996-05-01,0.022954736927283965,0.0030526565803703247,0.15290313889263102,0.2276707530647986,0.09807355516637478,0.09281961471103327,0.37478108581436076,0.07476761417216758,May
1996-06-01,0.02257813923594655,0.0030322759994273587,0.1412262156448203,0.2390415785764623,0.08639887244538408,0.09739252995066948,0.3391120507399577,0.08386187455954898,Jun
1996-07-01,0.021939740959505055,0.0029693544993386355,0.1322066239607469,0.23238380809595202,0.09349870519285812,0.10085866157830176,0.349189041842715,0.08450320294398256,Jul
1996-08-01,0.02197850997967446,0.0029235365664111554,0.13193839000290614,0.2124382446963092,0.1001162452775356,0.10999709386806161,0.36646323743097936,0.08166230746875908,Aug
